,Types of genre,Name of movie,Year of release,Watch time,Movie rating
0,Drama            ,The Shawshank Redemption,1994,142 min,9.3
1,"Crime, Drama            ",The Godfather,1972,175 min,9.2
2,"Action, Crime, Drama            ",The Dark Knight,2008,152 min,9.0
3,"Biography, Drama, History            ",Schindler's List,1993,195 min,9.0
4,"Crime, Drama            ",The Godfather Part II,1974,202 min,9.0
5,"Action, Adventure, Drama            ",The Lord of the Rings: The Return of the King,2003,201 min,9.0
6,"Crime, Drama            ",12 Angry Men,1957,96 min,9.0
7,"Crime, Drama            ",Pulp Fiction,1994,154 min,8.9
8,"Action, Adventure, Sci-Fi            ",Inception,2010,148 min,8.8
9,"Action, Adventure, Drama            ",The Lord of the Rings: The Fellowship of the Ring,2001,178 min,8.8
10,Drama            ,Fight Club,1999,139 min,8.8
11,"Drama, Romance            ",Forrest Gump,1994,142 min,8.8
12,"Adventure, Western            ","Il buono, il brutto, il cattivo",1966,161 min,8.8
13,"Action, Adventure, Drama            ",The Lord of the Rings: The Two Towers,2002,179 min,8.8
14,"Crime, Drama, Mystery            ",Jai Bhim,2021,164 min,8.8
15,"Adventure, Comedy, Drama            ",777 Charlie,2022,136 min,8.8
16,"Animation, Action, Adventure            ",Spider-Man: Across the Spider-Verse,2023,140 min,8.7
17,"Adventure, Drama, Sci-Fi            ",Interstellar,2014,169 min,8.7
18,"Biography, Crime, Drama            ",Goodfellas,1990,145 min,8.7
19,"Action, Sci-Fi            ",The Matrix,1999,136 min,8.7
20,Drama            ,One Flew Over the Cuckoo's Nest,1975,133 min,8.7
21,"Action, Adventure, Fantasy            ",Star Wars: Episode V - The Empire Strikes Back,1980,124 min,8.7
22,"Biography, Drama            ",Rocketry: The Nambi Effect,2022,157 min,8.7
23,"Action, Drama            ",Soorarai Pottru,2020,153 min,8.7
24,"Biography, Drama, History            ",Oppenheimer,2023,180 min,8.6
25,"Crime, Drama, Mystery            ",Se7en,1995,127 min,8.6
26,"Crime, Drama, Thriller            ",The Silence of the Lambs,1991,118 min,8.6
27,"Drama, War            ",Saving Private Ryan,1998,169 min,8.6
28,"Crime, Drama, Fantasy            ",The Green Mile,1999,189 min,8.6
29,"Action, Adventure, Fantasy            ",Star Wars,1977,121 min,8.6
30,"Animation, Adventure, Family            ",Sen to Chihiro no kamikakushi,2001,125 min,8.6
31,"Action, Sci-Fi            ",Terminator 2: Judgment Day,1991,137 min,8.6
32,"Crime, Drama            ",Cidade de Deus,2002,130 min,8.6
